Ship Name,Ship Type,GRT,Date,U-Boat,Loss Type,Position,Location,Route,Cargo,Casualties
Aleppo,Steamer,3870,10/18/15,UC 6 (Matthias Graf von Schmettow),Damaged,Mined 1.5 miles E of the Sunk Head Buoy. Beached but refloated.,,Alexandria - Hull,grain and general cargo,0
Alert,Fishing vessel (smack),59,08/01/15,UB 10 (Otto Steinbrinck),Sunk,Stopped and sunk 4 miles SE of the Newarp LV,,,,0
Alerte,Sailing vessel,176,12/17/16,UC 17 (Ralph Wenninger),Sunk,Stopped and sunk 40 miles west of the Casquets,"49° 42'N, 3° 25'W",Morlaix - TrÃ©port,asphalt,0
Alesia,Passenger steamer,6006,09/05/17,UC 69 (Hugo Thielmann),Damaged,40 miles NW of Ushant,,Cardiff - Bordeaux,general cargo and coal,
Alesia,Passenger steamer,6006,09/06/17,UC 50 (Rudolf Seuffer),Sunk,Torpedoed off Ushant,"48° 49'N, 5° 00'W",,,
Alessandra,Sailing vessel,2394,03/15/18,U 153 (Gernot Goetting),Sunk,Stopped and sunk by gunnery and explosive charge W of Madeira,"33° 21'N, 21° 00'W",Gibraltar - New York,in ballast,
Alessandria,Steamer,8006,05/02/17,UC 74 (Wilhelm Marschall),Sunk,100 miles north of Benghazi,,Karachi - Naples,wheat,
Alessio Cocco,Sailing vessel,29,04/15/17,UC 20 (Franz Becker),Sunk,off Tunisia (?),,,,
Alexander Shukoff,Steamer,1652,05/17/17,UC 79 (Erich Haecker),prize,Skagerrak,"57° 56'N, 8° 39'E",,,0
Alexander Shukoff,Steamer,1652,08/22/17,U 87 (Rudolf Schneider),Sunk,about 30 miles W of FlorÃ¶ (N of Bergen),,Bergen - Lerwick,in ballast,0
Alexander Wentzel,Steamer,2832,02/29/16,U 38 (Max Valentiner),Sunk,30 miles off Cap de Garde,"37° 21'N, 7° 34'E",La Goulette - West Hartlepool,iron ore,
Alexandra,Trawler,179,01/28/17,UC 31 (Otto von Schrader),Sunk,"Stopped and scuttled 60 miles E of Longstone, Farne Isl.",,,,0
Alexandre,Sailing vessel,2671,08/01/17,U 155 (Karl Meusel),Sunk,Stopped and scuttled 400 miles off the Azores,"33° 33'N, 23° 15'W",La Pallice - Iquique,in ballast,0
Alexandrian,Steamer,4467,01/09/17,U 84 (Walter Roehr),Damaged,20 miles SW of Fastnet.,,New Orleans - Liverpool,general cargo,0
Alf,Sailing vessel,196,10/23/16,UB 23 (Ernst Voigt),Sunk,W of LâOrient,"47° 35'N, 4° 02'W",Liverpool - Rochefort,pitch,0
Alfalfa,Steamer,2993,04/27/17,UB 32 (Max Viebeg),Sunk,30 miles SW of Scilly Island,"49° 15'N, 6° 20'W",Newport - Mediterranean,coal,30
Alfonso,Sailing vessel,15,08/09/17,UC 35 (Hans Paul Korsch),Sunk,Mediterranean,"37° 25'N, 12° 05'E",,,
Alfred,Fishing vessel (smack),24,04/26/16,UB 18 (Otto Steinbrinck),Sunk,Stopped and scuttled 27 miles ExS of Lowestoft,,,,0
Alfred De Courcy,Sailing vessel,164,11/25/16,UC 26 (Matthias Graf von Schmettow),Sunk,Stopped and sunk 22 miles NNW of Ushant,"48° 50'N, 5° 05'W",Port Talbot - La Rochelle,,
Alfred H. Read,Pilot vessel,457,12/28/17,UC 75 (Johannes Lohs),Sunk,Mined entrance of the Mersey,,,,39
Algarve,Steamer,1274,10/20/17,UB 38 (Wilhelm Amberger),Sunk,15 miles WSW of Portland Bill,,Rouen - Swansea,in ballast,21
Algerian,Steamer,3837,01/12/16,UC 5 (Herbert Pustkuchen),Sunk,"Mined 2.5 miles SW of the Needles LH, Isle of Wight","50° 46'N, 1° 20'W",Cowes - Avonmouth,in ballast,0
Algerie,Steamer,3386,08/08/17,UB 31 (Thomas Bieber),Damaged,2 miles SW of Portland Bill,,Calais - Cardiff,in ballast,
Algerien,Steamer,1703,11/25/15,U 33 (Konrad Gansser),Sunk,"27 miles NNW of San Pietro, Sardinia","39° 22'N, 7° 54'E",Marseille - Tunis,general cargo,30
Algiers,steamer,2361,02/26/17,UC 65 (Otto Steinbrinck),Sunk,Mined 3 miles S Owers LV,"50° 35'N, 0° 40'W",Calais - Barry Roads,in ballast,8
Algol,Steamer,2088,06/04/17,U 28 (Georg Schmidt),Sunk,NW of Cape Teriberski or 70 miles off the North Cape,"71° 30'N, 26° 00'E",Barry Dock - Port Romanoff,coal,
Algonquin,Steamer,1806,03/12/17,U 62 (Ernst Hashagen),Sunk,65 miles W of Bishop Rock,"49° 39'N, 7° 51'W",New York - London,general cargo,0
Algorta,Steamer,2117,01/29/17,U 53 (Hans Rose),Sunk,Captured and sunk 30 miles WSW of Ushant,,Sagunto - Tees,iron ore & oranges,2
Alhama,Steamer,1744,04/26/17,UB 12 (Ernst Steindorff),Sunk,Mined 1.5 miles N of Calais,,Bayonne - Dunkerque,pit props,0
Alia,Sailing vessel,160,08/24/16,,Sunk,Mediterranean,,,,
Alice,Fishing vessel,18,02/19/17,UC 65 (Otto Steinbrinck),Sunk,NW of Fecamp,"50° 33'N, 1° 20'E",,,
Alice Charles,Fishing vessel,41,03/12/17,UC 21 (Reinhold Saltzwedel),Sunk,off the Gironde entrance,,,,
Alice Marie,Steamer,2210,12/20/17,UB 31 (Thomas Bieber),Sunk,6 miles ENE of Start Point,,Newcastle - Rochefort,coal,0
Alida,Sailing vessel,71,06/11/17,,Sunk,Baltic,,,,
Alide,Sailing vessel,175,05/01/17,UC 75 (Johannes Lohs),Sunk,Sunk by gunnery off Lands End,,La Rochelle - Cardiff,pit props,
Aline,Sailing vessel,30,02/15/17,UC 21 (Reinhold Saltzwedel),Sunk,Shelled and sunk 25 miles WSW La Coubre Pt,,Fishing,,0
Aline Montreuil,Steamer,1624,09/21/17,UB 38 (Wilhelm Amberger),Sunk,Torpedoed 22 miles N of Cap Barfleur,"50° 02'N, 1° 18'W",Rouen - Swansea,,
Alison,Steamer,286,11/28/16,UB 39 (Heinrich KÃ¼stner),Sunk,Stopped and scuttled 8 miles ESE of the Owers LV,"50° 34'N, 0° 26'W",Havre - Littlehampton,government cargo,0
Alix,Sailing vessel,141,08/24/16,U 34 (Claus RÃ¼cker),Sunk,Stopped and sunk off the Algerian coast,"37° 51'N, 8° 18'E",BÃÂ´ne - Napoli,246 tons of phosphate,
Alkelda,Yacht,98,06/30/17,U 63 (Otto Schultze),Sunk,Ligurian Sea,,,,
Alkor,Sailing vessel,269,07/31/18,U 98 (Rudolf Andler),Sunk,off S Norway coast,,West Hartlepool â Arendal,coal,0
Alkyon,Steamer,2464,09/22/17,UB 50 (Franz Becker),Sunk,a few miles off Oran,,Tyne - Palermo,coal,0
Allendale,Steamer,2153,03/27/18,U 101 (Carl-Siegfried Ritter von Georg),Sunk,52 miles SxW of the Lizard,"49° 50'N, 5° 50'W",Ardrossan - Bordeaux,coal,1
Allanton,Steamer,4253,01/03/18,UB 50 (Franz Becker),Sunk,20 miles N of Cape Bon,"37° 26'N, 11° 00'E",Hull - Malta,coal,0
Allie,Steamer,1127,01/05/17,UB 39 (Heinrich KÃ¼stner),Sunk,10 miles WxN Ile de Re/2 miles NW of BouÃ©e Baleines,"46° 15'N, 1° 48'W",Swansea - Bordeaux,copper sulphate,0
Alma,Sailing vessel,335,03/13/17,U 70 (Otto WÃ¼nsche),Sunk,Stopped and sunk by gunnery off Wexford,"51° 35'N, 7° 35'W",Faro - Liverpool,locust beans,
Alma Jeanne,Sailing vessel (lugger),33,02/15/17,UC 66 (Herbert Pustkuchen),Sunk,Abt 35 nm SW1/4W of Baleines LH,"46° 09'N, 1° 53'W",Fishing,,
Almerian,Steamer,3030,10/19/18,U 73 (Carl BÃ¼nte),Sunk,"Mined 13 miles WxS of Licata, Sicily","37° 11'N, 13° 39'E",Livorno - Liverpool,sulphur & general cargo,0
Almond Branch,Steamer,3461,11/27/17,UB 57 (Otto Steinbrinck),Sunk,2 miles SE of Dodman Point at 8:15 a.m.,"50° 12'N, 4° 45'W",London - West Coast of South America,general cargo,1
Almora,Steamer,4385,10/02/17,U 39 (Walter Forstmann),Sunk,100 miles W1/2N of Cape Spartel,"35° 37'N, 7° 46'W",Barry - Gibraltar,coal,0
Alnwick Castle,Passenger steamer,5900,03/19/17,U 81 (Raimund Weisbach),Sunk,310 miles W1/2S of Bishop Rock,"47° 38'N, 13° 24'W",. London - Table Bay,general cargo & passengers,40
Alose,Navy Trawler,214,10/05/15,UC 6 (Matthias Graf von Schmettow),Sunk,Mined S of the Galloper LV (barrage 22),,,,12
Alphonse Conseil,Steamer,1591,01/06/17,U 48 (Berndt BuÃ),Sunk,180 miles WNW of La Coruna,,Nantes - Oran,miscellaneous,0
Alphonse Marceline,Fishing vessel,60,11/16/16,UB 40 (Karl Neumann),Sunk,off Cap Antifer,,,,4
Alster,Steamer,964,01/14/18,UB 62 (Bernhard Putzier),Sunk,"5 miles ESE of Noss Head, Shetland Islands",,Bergen - Hull,dried fish,0
Altair,Steamer,1674,10/18/17,UC 64 (Erich Hecht),Sunk,Torpedoed and sunk 8 miles NE3/4N of Newquay,"50° 31'N, 5° 17'W",Rouen - Cardiff,,5
Atle,Steamer,1725,09/30/16,U 55 (Wilhelm Werner),prize,North Sea,,GÃ¶teborg - London,general cargo,0
Atle Jarl,Steamer,1249,10/21/16,U 78 (Otto DrÃ¶scher),prize,16 miles off the SW Norwegian coast,,Trondheim & Bergen - Newcastle,general cargo,0
Alto,Steamer,2266,07/16/16,UC 1 (Kurt Ramien),Sunk,"Mined 4 miles off Kessingland, Suffolk",,Rouen - Newcastle,in ballast,0
Alu Mendi,Steamer,2104,04/28/17,UC 65 (Otto Steinbrinck),Sunk,12 miles SE of Tuskar,,Sagunto - Glasgow,iron ore,
Alwyn,Sailing vessel,73,06/12/17,UB 41 (GÃ¼nther Krause),Sunk,Stopped and scuttled 5 miles SE of Girdleness,"57° 05'N, 1° 55'W",Sunderland - Banff,coal,0
HMS Alyssum,Sloop,1250,03/18/17,UC 66 (Herbert Pustkuchen),Sunk,"Mined off Galley Head, SW coast of Ireland","51° 31'N, 8° 57'W",,,0
Amadavat,Trawler,171,12/12/17,U 71 (Otto DrÃ¶scher),Sunk,Mined east of the Shetlands,,,,9
Amakura,Steamer,2316,06/12/17,U 94 (Alfred SaalwÃ¤chter),Sunk,180 miles NW1/2W of Tory Island,"56° 10'N, 13° 00'W",Liverpool - Demerara,general cargo,2
Amalfi,Armored cruiser,10118,07/07/15,UB 14 (Heino von Heimburg),Sunk,Torpedoed in the Adriatic 15 miles off Venice,,,,72
Amalia,Sailing vessel,22,06/19/17,UC 27 (Gerhard Schulz),Sunk,off Pantelleria,,,,
Amanda,Sailing vessel,232,04/16/17,UC 51 (Wilhelm SchrÃ¶der),Sunk,Stopped and sunk in the North sea,"56° 27'N, 3° 00'E",Fredrikshald-West Hartlepool,pit props,0
Amazon,Passenger steamer,10037,03/15/18,U 110 (Carl Albrecht Kroll),Sunk,30 miles NxW of Malin Head,"55° 49'N, 8° 06'W",Liverpool - Buenos Aires,,0
Amber,Steamer,401,05/02/17,UC 65 (Otto Steinbrinck),Sunk,about 2 miles off Ballyherbert,,Troon - Waterford,coal,0
Amberton,Steamer,4556,11/05/17,UB 50 (Franz Becker),Damaged,Torpedoed north of Cap Bon,"37° 19'N, 8° 41'E",,,0
Ambient,Steamer,1517,03/12/17,UC 4 (Georg Reimarus),Sunk,Mined 7 miles NW of the Shipwash LV,"52° 08'N, 1° 46'E",Sunderland - Dunkerque,coal,0
Ambon,Steamer,3598,02/22/17,UC 66 (Herbert Pustkuchen),Damaged,Torpedoed between Start Point and Plymouth.,"50° 14'N, 3° 33'W",Amsterdam - Java,"laden, cargo uncertain",
Amedee,Sailing vessel,130,12/22/16,UC 18 (Wilhelm Kiel),Sunk,"Stopped and sunk 35 miles ESE of Triagoz, Brittany",,Binic â Cardiff,,
Ameer,Navy Trawler,216,03/18/16,UC 7 (Georg Haag),Sunk,Mined off Felixstowe 51.5845N 01.2800E,"51° 59'N, 1° 28'E",,,8
Amelia & Jane,Sailing vessel,62,04/27/17,UC 48 (Kurt Ramien),Damaged,14 miles NNW of Fort Cherburg,,Granville - Southampton,in ballast,0
Amelie,Steamer,1135,11/13/17,UC 31 (Kurt Siewert),Sunk,7 miles SW Start Point,"50° 09'N, 3° 48'W",Le Havre - Cardiff,in bllast,0
America,Steamer,3706,05/02/15,U 41 (Claus Hansen),Sunk,North Sea,"57° 20'N, 1° 09'W",Boston via Sunderland - Bergen,general cargo,0
LâAmerique,Navy Trawler,489,03/24/17,UC 36 (Gustav Buch),Sunk,Torpedoed off Ras de Sein. Ship broke into two pieces and sank within 10 seconds.,,,,26
Amethyst,Fishing vessel (smack),57,08/13/15,UC 5 (Herbert Pustkuchen),Sunk,7 miles ESE of Lowestoft,,,,0
Amicitia,Steamer,1111,12/06/16,UB 39 (Heinrich KÃ¼stner),Sunk,120 miles SW of Ushant,,Sevilla - Honfleur,pyrites,0
Amiral Charner,Armored cruiser,4750,02/08/16,U 21 (Otto Hersing),Sunk,Torpedoed 15 miles W of Beirut,"33° 21'N, 34° 54'E",,,426
Amiral De Kersaint,Steamer,5570,09/14/17,U 64 (Robert Moraht),Sunk,5 miles off Cape Tortosa,,Havre & Oran - Marseille & Indo-China,,
Amiral Ganteaume,Steamer,4590,10/26/14,U 24 (Rudolf Schneider),Damaged,off Cap Gris-Nez (towed to Boulogne),,Calais - Havre,Belgian refugees,
Amiral Hamelin,Steamer,5051,10/07/15,U 33 (Konrad Gansser),Sunk,170 miles SW of Cape Matapan,"35° 37'N, 19° 08'E",Marseille - Salonica,military stores,71
Amiral Lafont,Auxiliary motor,117,05/25/18,UB 50 (Franz Becker),Sunk,Stopped and scuttled N of Alboran,"36° 31'N, 2° 27'W",Dakar - Marseilles,grain and/or peanuts,
Amiral Magon,Passenger steamer,5566,01/28/17,U 39 (Walter Forstmann),Sunk,Torpedoed 160 miles west of Antikythera Island,"35° 49'N, 20° 02'E",Marseilles - Salonica,troops & stores,203
Amiral Olry,Steamer,5567,09/01/17,UC 74 (Wilhelm Marschall),Sunk,"Torpedoed 38 miles NW of Cape Sidero, Crete","35° 40'N, 25° 47'E",Le Havre - Southeast Asia,,
Amiral Troude,Sailing vessel,1876,09/30/17,UB 51 (Ernst Krafft),Sunk,Stopped and sunk by torpedo 400 miles W of France (in S80Â°W off Penmarch c/o Lacroix),"46° 40'N, 15° 30'W",Iquique - Rochefort,nitrate,0
Amiral Zede,Steamer,5980,11/19/17,UC 77 (Reinhard von Rabenau),Sunk,"Torpedoed in the early hours, 22 miles SE of Carnsore Point, Ireland","52° 01'N, 6° 06'W",Havre & Newport (Mon.)-Buenos Ayres,,1
Amor,Steamer,3472,06/05/17,U 66 (Thorwald von Bothmer),Sunk,aboutt 200 miles NW of Fastnet,"52° 44'N, 13° 42'W",Galveston - Liverpool,,
Aamot,Steamer,1362,12/14/16,U 84 (Walter Roehr),prize,North Sea,"57° 10'N, 7° 35'E",Skien - U.K.,nitrate,0
Amphitrite,Fishing vessel,44,11/28/16,UB 37 (Paul GÃ¼nther),Sunk,Stopped and sunk 24 miles WxS of Portland Bill,,,,0
Ampleforth,Steamer,3873,05/21/17,U 65 (Hermann von Fischel),Sunk,Torpedoed 15 miles WSW of Gozo Island,"36° 10'N, 13° 30'E",Barry - Alexandria,coal & crated aircraft,4
Amplegarth,Steamer,3707,05/10/18,UC 71 (Walter Warzecha),Sunk,Mined 1 miles WSW Dover Harbour,,Dunston - St. Nazaire,coal,0
Amsteldam,Steamer,1233,10/18/17,UB 21 (Walter Scheffler),Sunk,6 miles north of Flamborough Head,,Shields - London,coal,4
Amsteldjik,Trawler,186,04/26/17,UC 63 (Karsten von Heydebreck),Sunk,Stopped and sunk near the Haaks LV,"52° 56'N, 4° 10'E",,,0
Amstelland,Steamer,5404,07/01/17,UC 31 (Otto von Schrader),Sunk,35 miles S of Galley Head,,Buenos Aires - Belfast,,
Amstelstromm,Steamer,1413,03/27/17,UB 10 (Erich von Rohrscheidt),Sunk,20 miles ENE of Noord Hinder Lightship,,Amsterdam- London,margarine,0
Amsterdam,steamer,806,02/24/18,UC 49 (Hans KÃ¼kenthal),Sunk,3 miles SExE Coquet Isl.,,Leith - Rotterdam,coal & general cargo,4
Amulree,Sailing vessel,1145,04/24/17,U 81 (Raimund Weisbach),Sunk,Stopped and sunk 50 miles NxE of Tory Island,"56° 10'N, 8° 40'W",Liverpool - Santos,coal,0
Amy,Navy Trawler,270,04/11/17,UC 26 (Matthias Graf von Schmettow),Sunk,"Mined 0,5m NxE from Whistle Buoy Le Havre roads",,,,9
Anais,Sailing vessel ,130,03/16/17,UC 21 (Reinhold Saltzwedel),Sunk,Scuttled 14 miles SE of Ile des Glenans,,Cardiff â Saint Pierre de Quiberon,coal,0
Anatolia,Steamer,3847,06/25/17,UC 35 (Ernst von Voigt),Sunk,Mined 1.5 miles off Genoa,,Liverpool - Genoa,general cargo,0
Anboto Mendi,Steamer,2114,05/10/18,UB 21 (Bruno Mahn),Sunk,Robin Hood Bay,,Sagunto - Middlesbrough,iron ore,
Anchoria,Steamer,5430,03/24/18,U 98 (Rudolf Andler),Damaged,Off Northern Ireland,"55° 47'N, 7° 13'W",Glasgow - New York,general cargo,0
HMS Anchusa,Sloop,1290,07/16/18,U 54 (Hellmuth von Ruckteschell),Sunk,Torpedoed off the N coast of Ireland,,,,78
Ancona,Steamer,1168,09/06/16,,Damaged,Damaged by gunfire,"48° 47'N, 4° 25'W",,,
Ancona,Steamer,1168,05/28/17,UC 70 (Werner FÃ¼rbringer),Sunk,110 miles WSW Ushant,,Falmouth - Lisbon & Spanish ports,general cargo,0
Andalusian,Steamer,2349,03/12/15,U 29 (Otto Weddigen),Sunk,25 miles WNW of Bishop Rock,"49° 41'N, 6° 52'W",Liverpool - Patras,general cargo,0
Andania,Passenger steamer,13405,01/27/18,U 46 (Leo Hillebrand),Sunk,"Torpedoed 2 miles NNE of Rathlin Island, North Channel","55° 20'N, 6° 12'W",Liverpol - New York,passengers & general cargo,7
Andoni,Steamer,3188,01/08/17,U 35 (Lothar von Arnauld de la PeriÃ¨re),Sunk,46 miles SE of Malta at 7:35am,"35° 19'N, 15° 07'E",Karachi - London,grain,3
Andre,Sailing vessel,135,03/29/17,,Sunk,off Iviza,,,,
Andrea Costa,Steamer,3991,01/22/18,k.u.k. U27 (Josef Holub),Sunk,"Torpedoed near Marca, Sirocco, (off Malta)",,Rangoon - Malta,,
Andrewina,Motor fishing vessel,50,07/28/16,UB 23 (Ernst Voigt),Sunk,Stopped and sunk 12 1/2 miles NE of the Tyne,,,,0
Andromache,Trawler,313,04/14/17,U 78 (Otto DrÃ¶scher),Sunk,Stopped and scuttled W of the Shetlands while returning home from fishing off Iceland.,,,,11
Andromeda,Trawler,149,09/23/16,UC 16 (Egon von Werner),Sunk,Stopped and sunk by gunfire 39 miles SExE of the Spurn LV,,,,0
Anette,Sailing vessel,112,06/15/16,U 35 (Lothar von Arnauld de la PeriÃ¨re),Sunk,"Ligurian Sea at 9,20am","43° 10'N, 10° 05'E",,,
Marie,Steamer,784,08/10/16,UB 18 (Otto Steinbrinck),Sunk,Stopped and scuttled 12 miles ENE of Barfleur,"49° 45'N, 0° 55'W",? - Dunkerque,,
Angantyr,Steamer,1359,06/14/17,UB 41 (GÃ¼nther Krause),Sunk,Torpedoed SE of Cove Bay,,GÃ¶teborg - Rouen,"steel, woodpulp & general cargo",1
Ange Gardien,Sailing vessel,24,01/30/18,UC 48 (Kurt Ramien),Sunk,"Mined off Sept Iles, Brittany",,,,
Angel Marina,Sailing vessel,257,04/05/17,U 52 (Hans Walther),Sunk,Stopped and scuttled in the Ligurian Sea,"43° 16'N, 7° 10'E",,sulphur,
Angela,Steamer,2422,01/03/17,U 79 (Heinrich JeÃ),Sunk,35 miles W of Cape St. Vincent,,Genoa - Barry Roads,,0
Angela  M.,Sailing vessel,187,04/12/17,U 65 (Hermann von Fischel),Sunk,Stopped and scuttled NW of Cape Bougaroni,,,,
Angela Madre,Sailing vessel,80,07/01/17,UC 67 (Karl Neumann),Sunk,s of Sardinia,,,,
Angela Madre G.,Sailing vessel,155,12/02/16,U 32 (Kurt Hartwig),Sunk,"Near Isola Rossa, Sardinia","42° 44'N, 8° 48'E",,,
Angeliki,Sailing vessel,30,05/20/18,k.u.k. U32 (Otto Kasseroller),Sunk,Med. Sea,"36° 39'N, 22° 18'E",,,0
Angelina,Steamer,1260,06/01/18,UB 68 (Heino von Heimburg),Sunk,Torpedoed W of Granitola,"37° 00'N, 12° 00'E",Tripoli - Malta,general cargo,
Angelina,Sailing vessel,153,08/24/16,U 34 (Claus RÃ¼cker),Sunk,Stopped and sunk 53 miles NNE of Bona,"37° 48'N, 8° 16'E",Bona - Naples,wood,
Angelina Di Paola,Sailing vessel,228,04/26/18,UB 68 (Heino von Heimburg),Sunk,Stopped and scuttled N of Cape San Vito,,Siciliy - Savona,salt,
Angelina Pasquale,Sailing vessel,29,09/20/18,UB 105 (Rudolf Petersen),Sunk,off Sicily,,,,
Angelina T.,Sailing vessel,146,08/04/17,U 33 (Gustav SieÃ),Sunk,"Stopped and sunk by gunnery N of Cape Corse, Corsica","42° 41'N, 10° 04'E",,,
Angelo,Steamer,3609,07/17/16,U 39 (Walter Forstmann),Sunk,80 miles NE of Algiers,"37° 53'N, 3° 43'E",Genoa - Philadelphia,,
Angelo Padre,Sailing vessel,50,05/26/17,U 65 (Hermann von Fischel),Sunk,"SW Policastro, Campania",,,,
Angelo Parodi,Steamer,3825,12/13/16,U 38 (Max Valentiner),Sunk,"6 miles from Cabo Tinoso, Spain","37° 18'N, 1° 25'W",Genoa - ?,,
Angelo Raffaele,,53,03/20/18,UB 49 (Hans von Mellenthin),Sunk,Gulf of Naples between 19 and 21/3,,,,
Angelus,Navy Trawler,304,02/28/16,UC 6 (Matthias Graf von Schmettow),Sunk,Mined off Dover 51.0530N 01.1820E,"51° 05'N, 1° 18'E",,,2
Angiolina,Steamer,3541,03/19/17,U 34 (Johannes Klasing),Damaged,Torpedoed E of Elba,"42° 41'N, 10° 36'E",Taranto - Sagunto,in ballast,
Anglesea,Steamer,4534,04/24/17,U 53 (Hans Rose),Sunk,Torpedoed 160 miles W of Bishop Rock,"48° 56'N, 10° 17'W",Boston - Havre,steel & oats,0
Anglia,Trawler,107,07/24/15,U 36 (Ernst Graeff),Sunk,Stopped and sunk 25 miles NW of Sulisker,,,,0
Anglian,Steamer,5532,06/11/17,UC 75 (Johannes Lohs),Sunk,"43 miles SWxW1/2W of Bishop Rock or 49Â° 29âN, 7Â° 23âW (per SHOM)","49° 22'N, 7° 12'W",Boston - London,general cargo,1
Anglo-californian,Steamer,7333,07/04/15,U 39 (Walter Forstmann),Damaged,Damaged by gunfire and put into Queenstown.,"50° 15'N, 9° 00'W",Quebec - Avonmouth,horses,21
Anglo Dane,Steamer,808,10/21/17,UC 40 (Hermann Menzel),Sunk,"Mined .75 miles SSW of the Kirkabister LH, Bressay",,South Shield - HelsingÃ¸r,coal,1
Anglo-canadian,Steamer,4239,01/22/18,U 63 (Kurt Hartwig),Sunk,33 miles S1/2E of Malta,"35° 15'N, 15° 05'E",Alexandria - Marseille,in ballast,3
Anglo-colombian,Steamer,4792,09/23/15,U 41 (Claus Hansen),Sunk,Captured and then sunk by gunfire 79 miles SE of Fastnet Rock,,Quebec - Avonmouth,horses,0
Anglo-patagonian,Steamer,5017,07/11/17,UC 72 (Ernst Voigt),Sunk,20 miles WSW of Sables dâOlonne,"46° 27'N, 2° 10'W",New York - Bordeaux,"aircraft, other war material and steel",4
Ango,Steamer,7393,11/26/17,UB 80 (Max Viebeg),Damaged,Torpedoed 6 miles SE of Falmouth,,Havre - Santos,general cargo,
Ango,Steamer,7393,07/26/18,UC 70 (Karl Dobberstein),Damaged,Torpedoed 2 miles E of Flamborough Head,,Falmouth - Hartlepool,in ballast,
Angola,Steamer,4297,03/10/17,U 61 (Victor Dieckmann),Sunk,112 miles SW of Bishop Rock,,Cardiff - Lisbon,coal,
Angus,Steamer,3619,04/11/16,U 34 (Claus RÃ¼cker),Sunk,76 miles ExN of Valencia,"39° 57'N, 1° 08'E",Calcutta via Barcelona - Bilbao,jute & cotton,0
Anhui,Steamer,2209,08/13/18,k.u.k. U27 (Josef Holub),Sunk,"2 miles SE of Cape Greco, Cyprus","35° 04'N, 34° 08'E",Famagusta - Port Said,general cargo & passengers,4
Anine,Steamer,1299,07/16/18,UB 123 (Robert Ramm),prize,Skagerrak,,,,
Anitra,Sailing vessel,593,07/29/17,U 96 (Heinrich JeÃ),Sunk,20 miles off HvidingsÃ¶,,"Newport, Mon. â Christiania",coal,0
Anjou,Auxiliary minesweper,771,06/17/17,UC 48 (Kurt Ramien),Sunk,"Mined 6 miles NW of the mouth of the Adour, near Bayonne","43° 35'N, 1° 32'W",,,0
Ann J. Trainer,Sailing vessel,426,09/16/17,UC 21 (Werner von Zerboni di Sposetti),Sunk,Scuttled 30 miles off Ushant,"48° 44'N, 5° 39'W",New York-Le Havre,oil and wires,0
Anna  E.,Sailing vessel,41,03/03/17,U 39 (Walter Forstmann),Sunk,Straits of Sicily,,,,
Anna Alwina,Sailing vessel,364,05/11/17,U 80 (Alfred von Glasenapp),Sunk,Stopped and scuttled SW of Ireland,"51° 30'N, 10° 40'W",Pensacola - Liverpool,,
Anna Fostenes,Steamer,2577,04/02/17,,Sunk,Mined ? 90 miles N of Terschelling LV,"54° 33'N, 4° 38'E",New York - Rotterdam,wheat,8
Anna Gurine,Steamer,1147,10/24/16,UB 29 (Herbert Pustkuchen),Sunk,30 miles S1/2W of the Longships LV,,Glasgow - Nantes,coal,0
Anna I,Ice Breaker,,11/11/16,U 76 (Waldemar Bender),Sunk,Mined White Sea,,,,
Anna Maria,Sailing vessel,141,02/04/17,U 83 (Bruno Hoppe),Sunk,western end of Channel,"49° 37'N, 5° 10'W",Bonanza (Spain) - St Malo,salt & wine,0
Anna Prosper,Fishing vessel,70,02/05/17,UB 40 (Hans Howaldt),Sunk,Stopped and sunk 3 miles of the NNE Smithâs Knoll Spar buoy,"52° 47'N, 2° 15'E",,,
Anna Scotto,Steamer,594,10/18/17,UC 25 (Johannes Feldkirchner),Sunk,"Mined off Capo Isole delle Correnti, Sicily",,,,
Anna Sofie,Steamer,2577,07/23/18,U 55 (Wilhelm Werner),Sunk,Sank 4 miles W of Trevose Head,"50° 31'N, 5° 08'W",Rouen - Barry Roads,in ballast,1
Annam,Steamer,6075,06/10/17,UC 35 (Ernst von Voigt),Sunk,20 miles west of Sapientza Island in the Ionian Sea,"36° 49'N, 21° 23'E",,,
Annapolis,Steamer,4567,04/20/17,U 69 (Ernst Wilhelms),Sunk,74 miles NW1/2N of Eagle Island,"54° 55'N, 11° 45'W",Halifax - Liverpool,general cargo,0
Anne,Sailing vessel,240,04/16/17,U 43 (Hellmuth JÃ¼rst),Sunk,Stopped and scuttled W of Ireland,"51° 45'N, 17° 20'W",Savannah - Odense,oilcake,0
Anne Marie,Sailing vessel,441,04/28/17,U 70 (Otto WÃ¼nsche),Sunk,160 miles W of Ireland,,"Fray Bentos â Sillot, Ierland",hides and guano,0
Anne Yvonne,Sailing vessel,102,03/17/18,UB 57 (Johannes Lohs),Sunk,Stopped and sunk by gunnery 1.5 miles abreast of Cadgwith ,"49° 59'N, 5° 10'W",Swansea â Granville via Falmouth,coal,0
